Symbol	Name	Stock Exchange	Stock Exchange (MIC)	Country
PFE.XSTO	PFIZER INC.	Stockholm Stock Exchange	XSTO	Sweden
AZN.XSTO	ASTRAZENECA PLC	Stockholm Stock Exchange	XSTO	Sweden
EQNRO.XSTO	EQUINOR ASA	Stockholm Stock Exchange	XSTO	Sweden
ABB.XSTO	ABB LTD	Stockholm Stock Exchange	XSTO	Sweden
ATCO_A.XSTO	ATLAS COPCO AB SER. A	Stockholm Stock Exchange	XSTO	Sweden
INVE_B.XSTO	INVESTOR AB SER. B	Stockholm Stock Exchange	XSTO	Sweden
INVE_A.XSTO	INVESTOR AB SER. A	Stockholm Stock Exchange	XSTO	Sweden
ATCO_B.XSTO	ATLAS COPCO AB SER. B	Stockholm Stock Exchange	XSTO	Sweden
NDA_SE.XSTO	NORDEA BANK ABP	Stockholm Stock Exchange	XSTO	Sweden
VOLV_B.XSTO	VOLVO, AB SER. B	Stockholm Stock Exchange	XSTO	Sweden
VOLV_A.XSTO	VOLVO, AB SER. A	Stockholm Stock Exchange	XSTO	Sweden
HM_B.XSTO	HENNES & MAURITZ AB, H & M SER. B	Stockholm Stock Exchange	XSTO	Sweden
ERIC_A.XSTO	ERICSSON, TELEFONAB. L M SER. A	Stockholm Stock Exchange	XSTO	Sweden
DNBO.XSTO	DNB ASA	Stockholm Stock Exchange	XSTO	Sweden
ERIC_B.XSTO	ERICSSON, TELEFONAB. L M SER. B	Stockholm Stock Exchange	XSTO	Sweden
ASSA_B.XSTO	ASSA ABLOY AB SER. B	Stockholm Stock Exchange	XSTO	Sweden
TELO.XSTO	TELENOR	Stockholm Stock Exchange	XSTO	Sweden
SEB_C.XSTO	SKANDINAVISKA ENSKILDA BANKEN SER. C	Stockholm Stock Exchange	XSTO	Sweden
NOKIA_SEK.XSTO	NOKIA CORPORATION	Stockholm Stock Exchange	XSTO	Sweden
ESSITY_B.XSTO	ESSITY AB SER. B	Stockholm Stock Exchange	XSTO	Sweden
ESSITY_A.XSTO	ESSITY AB SER. A	Stockholm Stock Exchange	XSTO	Sweden
SHB_B.XSTO	SVENSKA HANDELSBANKEN SER. B	Stockholm Stock Exchange	XSTO	Sweden
SEB_A.XSTO	SKANDINAVISKA ENSKILDA BANKEN SER. A	Stockholm Stock Exchange	XSTO	Sweden
SAND.XSTO	SANDVIK AB	Stockholm Stock Exchange	XSTO	Sweden
SHB_A.XSTO	SVENSKA HANDELSBANKEN SER. A	Stockholm Stock Exchange	XSTO	Sweden
HEXA_B.XSTO	HEXAGON AB SER. B	Stockholm Stock Exchange	XSTO	Sweden
SWED_A.XSTO	SWEDBANK AB SER A	Stockholm Stock Exchange	XSTO	Sweden
TELIA.XSTO	TELIA COMPANY AB	Stockholm Stock Exchange	XSTO	Sweden
EQT.XSTO	EQT AB	Stockholm Stock Exchange	XSTO	Sweden
EPI_A.XSTO	EPIROC AB SER. A	Stockholm Stock Exchange	XSTO	Sweden
EPI_B.XSTO	EPIROC AB SER. B	Stockholm Stock Exchange	XSTO	Sweden
MOWIO.XSTO	MOWI ASA	Stockholm Stock Exchange	XSTO	Sweden
8TRA.XSTO	TRATON SE	Stockholm Stock Exchange	XSTO	Sweden
ADEO.XSTO	ADEVINTA ASA	Stockholm Stock Exchange	XSTO	Sweden
LUND_B.XSTO	LUNDBERGFORETAGEN AB, L E SER. B	Stockholm Stock Exchange	XSTO	Sweden
STE_A.XSTO	STORA ENSO OYJ SER. A	Stockholm Stock Exchange	XSTO	Sweden
TEL2_B.XSTO	TELE2 AB SER. B	Stockholm Stock Exchange	XSTO	Sweden
INDU_A.XSTO	INDUSTRIVARDEN, AB SER. A	Stockholm Stock Exchange	XSTO	Sweden
GJFO.XSTO	GJENSIDIGE FORSIKRING ASA	Stockholm Stock Exchange	XSTO	Sweden
TEL2_A.XSTO	TELE2 AB SER. A	Stockholm Stock Exchange	XSTO	Sweden
LATO_B.XSTO	LATOUR, INVESTMENTAB. SER. B	Stockholm Stock Exchange	XSTO	Sweden
INDU_C.XSTO	INDUSTRIVARDEN, AB SER. C	Stockholm Stock Exchange	XSTO	Sweden
YARO.XSTO	YARA INTERNATIONAL	Stockholm Stock Exchange	XSTO	Sweden
SWMA.XSTO	SWEDISH MATCH AB	Stockholm Stock Exchange	XSTO	Sweden
ALFA.XSTO	ALFA LAVAL AB	Stockholm Stock Exchange	XSTO	Sweden
STE_R.XSTO	STORA ENSO OYJ SER. R	Stockholm Stock Exchange	XSTO	Sweden
SKA_B.XSTO	SKANSKA AB SER. B	Stockholm Stock Exchange	XSTO	Sweden
AKERBPO.XSTO	AKER BP ASA	Stockholm Stock Exchange	XSTO	Sweden
ORKO.XSTO	ORKLA	Stockholm Stock Exchange	XSTO	Sweden
BALD_B.XSTO	FASTIGHETS AB BALDER SER. B	Stockholm Stock Exchange	XSTO	Sweden
NIBE_B.XSTO	NIBE INDUSTRIER AB SER. B	Stockholm Stock Exchange	XSTO	Sweden
